make,avg_price_vs_mmr
AIRSTREAM,41500.0
ASTON MARTIN,1252.0
LAMBORGHINI,1125.0
MAZDA TK,1125.0
LOTUS,500.0
GMC TRUCK,429.54545454545456
HUMMER,252.6248447204969
HYUNDAI TK,225.0
LANDROVER,197.22222222222223
CHEV TRUCK,75.0
SUZUKI,15.185528756957329
ISUZU,-41.661764705882355
ACURA,-59.63972325345933
HONDA,-61.587912690578044
FORD TRUCK,-66.66666666666667
DODGE TK,-75.0
GEO,-80.26315789473684
LEXUS,-83.9415692821369
SUBARU,-87.52968841857731
INFINITI,-87.64194707611891
SCION,-93.93894487255483
MINI,-98.65074441687345
GMC,-105.05311148712164
VOLVO,-109.36457233368532
TOYOTA,-109.48681379172297
MERCEDES,-110.0
SMART,-117.73989898989899
MITSUBISHI,-118.4442095372328
CADILLAC,-119.24616594573338
JEEP,-119.27901569463282
MAZDA,-123.90491302303714
SATURN,-125.36078845476945
NISSAN,-127.98600440602033
BMW,-134.16712355119512
KIA,-138.6136489326402
SAAB,-140.54752066115702
OLDSMOBILE,-147.65625
VOLKSWAGEN,-150.1364178392559
AUDI,-164.6120469627361
MERCURY,-165.3114186851211
FIAT,-168.35028901734103
CHEVROLET,-171.54424216416064
VW,-175.0
BUICK,-186.92638156610036
FORD,-192.46210477041575
PONTIAC,-195.87179487179486
DODGE,-209.01305204665138
LINCOLN,-216.45091600414796
HYUNDAI,-221.35559525445467
RAM,-228.38084827284652
DAEWOO,-233.33333333333334
CHRYSLER,-247.85986386775724
PORSCHE,-265.4593437945792
LAND ROVER,-302.6260729613734
MERCEDES-BENZ,-349.65107053264103
DOT,-350.0
JAGUAR,-353.2387323943662
MERCEDES-B,-450.0
FORD TK,-675.0
MASERATI,-733.0882352941177
TESLA,-758.695652173913
ROLLS-ROYCE,-805.8823529411765
PLYMOUTH,-1150.0
BENTLEY,-1560.7758620689656
FERRARI,-2000.0
FISKER,-2638.8888888888887
