make,sale_year,avg_price_vs_mmr
ACURA,2014.0,-92.32093663911846
ACURA,2015.0,-55.07692307692308
AIRSTREAM,2014.0,41500.0
ASTON MARTIN,2015.0,1252.0
AUDI,2014.0,-222.289156626506
AUDI,2015.0,-158.28455438066464
BENTLEY,2014.0,552.7777777777778
BENTLEY,2015.0,-1948.9795918367347
BMW,2014.0,-301.7551691729323
BMW,2015.0,-115.06038039110635
BUICK,2014.0,-286.09090909090907
BUICK,2015.0,-174.9945307372566
CADILLAC,2014.0,-273.5552050473186
CADILLAC,2015.0,-97.27133872416891
CHEV TRUCK,2014.0,75.0
CHEVROLET,2014.0,-345.24256951102586
CHEVROLET,2015.0,-151.53643542122992
CHRYSLER,2014.0,-342.0306965761511
CHRYSLER,2015.0,-237.75628602191398
DAEWOO,2014.0,-625.0
DAEWOO,2015.0,-37.5
DODGE,2014.0,-341.0900631439016
DODGE,2015.0,-194.79104637847124
DODGE TK,2014.0,-75.0
DOT,2014.0,-350.0
FERRARI,2014.0,-1333.3333333333333
FERRARI,2015.0,-2125.0
FIAT,2014.0,-505.8510638297872
FIAT,2015.0,-148.95843520782395
FISKER,2015.0,-2638.8888888888887
FORD,2014.0,-357.13230174081235
FORD,2015.0,-177.65456105564638
FORD TK,2014.0,-675.0
FORD TRUCK,2014.0,-250.0
FORD TRUCK,2015.0,25.0
GEO,2014.0,-450.0
GEO,2015.0,-59.72222222222222
GMC,2014.0,-358.90410958904107
GMC,2015.0,-78.07352329450916
GMC TRUCK,2014.0,-354.1666666666667
GMC TRUCK,2015.0,1370.0
HONDA,2014.0,-71.66647629925757
HONDA,2015.0,-60.10797098410835
HUMMER,2014.0,132.5
HUMMER,2015.0,264.065306122449
HYUNDAI,2014.0,-365.7645083932854
HYUNDAI,2015.0,-206.10731287349336
HYUNDAI TK,2014.0,225.0
INFINITI,2014.0,-210.87336914811974
INFINITI,2015.0,-76.17426081988287
ISUZU,2014.0,-33.035714285714285
ISUZU,2015.0,-43.03409090909091
JAGUAR,2014.0,-342.0658682634731
JAGUAR,2015.0,-354.72785315243414
JEEP,2014.0,-174.26971504307488
JEEP,2015.0,-113.34077572634894
KIA,2014.0,-199.50846310088016
KIA,2015.0,-133.1971093044264
LAMBORGHINI,2015.0,1125.0
LAND ROVER,2014.0,-705.3964757709251
LAND ROVER,2015.0,-246.7745876603543
LANDROVER,2014.0,-211.25
LANDROVER,2015.0,1364.2857142857142
LEXUS,2014.0,-241.88770999115826
LEXUS,2015.0,-67.47580422158724
LINCOLN,2014.0,-281.2105263157895
LINCOLN,2015.0,-210.65900960271136
LOTUS,2015.0,500.0
MASERATI,2014.0,-1618.1818181818182
MASERATI,2015.0,-655.2
MAZDA,2014.0,-311.71517027863774
MAZDA,2015.0,-99.76535349515851
MAZDA TK,2014.0,1125.0
MERCEDES,2014.0,-207.95454545454547
MERCEDES,2015.0,55.76923076923077
MERCEDES-B,2014.0,-400.0
MERCEDES-B,2015.0,-500.0
MERCEDES-BENZ,2014.0,-624.8144214645054
MERCEDES-BENZ,2015.0,-317.58572173006775
MERCURY,2014.0,-120.01845018450184
MERCURY,2015.0,-172.3173515981735
MINI,2014.0,-159.17508417508418
MINI,2015.0,-92.50939528527502
MITSUBISHI,2014.0,-77.59740259740259
MITSUBISHI,2015.0,-124.36578805809575
NISSAN,2014.0,-258.9878903760357
NISSAN,2015.0,-115.48091664976678
OLDSMOBILE,2014.0,-94.79166666666667
OLDSMOBILE,2015.0,-159.85576923076923
PLYMOUTH,2014.0,47.5
PLYMOUTH,2015.0,-1854.4117647058824
PONTIAC,2014.0,-223.66270430906388
PONTIAC,2015.0,-191.0150610231109
PORSCHE,2014.0,-291.49305555555554
PORSCHE,2015.0,-262.4793322734499
RAM,2014.0,-471.3607594936709
RAM,2015.0,-210.34852043212777
ROLLS-ROYCE,2014.0,-7200.0
ROLLS-ROYCE,2015.0,-406.25
SAAB,2014.0,-256.25
SAAB,2015.0,-120.32766990291262
SATURN,2014.0,-121.12359550561797
SATURN,2015.0,-126.14774624373956
SCION,2014.0,-268.62745098039215
SCION,2015.0,-69.90896830748483
SMART,2014.0,-69.87179487179488
SMART,2015.0,-122.96918767507003
SUBARU,2014.0,-329.64912280701753
SUBARU,2015.0,-63.771035076393375
SUZUKI,2014.0,-87.32876712328768
SUZUKI,2015.0,31.244635193133046
TESLA,2014.0,-7000.0
TESLA,2015.0,-475.0
TOYOTA,2014.0,-214.11531883703884
TOYOTA,2015.0,-97.54902015443369
VOLKSWAGEN,2014.0,-239.5204081632653
VOLKSWAGEN,2015.0,-140.9181794264667
VOLVO,2014.0,-212.31435643564356
VOLVO,2015.0,-97.07387706855792
VW,2014.0,168.75
VW,2015.0,-243.75
