make,avg_sellingprice
ROLLS-ROYCE,153488.23529411765
FERRARI,127210.52631578948
LAMBORGHINI,112625.0
BENTLEY,74367.6724137931
AIRSTREAM,71000.0
TESLA,67054.34782608696
ASTON MARTIN,54812.0
FISKER,46461.11111111111
MASERATI,44947.05882352941
LOTUS,40800.0
PORSCHE,39842.93937232525
LAND ROVER,31617.813841201718
RAM,25299.936816790556
MERCEDES-BENZ,21590.566828073042
BMW,21474.03034675131
INFINITI,20417.457693564196
LEXUS,20213.986227045076
AUDI,19910.83460949464
JAGUAR,19782.518309859155
GMC,16923.40383530739
LINCOLN,16839.70186657449
HUMMER,15269.488198757765
SUBARU,15245.862433862434
CADILLAC,15072.469655262814
JEEP,14952.743525156624
FORD,14496.117728413976
ACURA,13983.597705028687
VW,13672.916666666666
MERCEDES-B,13650.0
MINI,12313.663151364764
TOYOTA,12237.650127608467
CHEVROLET,11939.35908693284
KIA,11806.175367769052
NISSAN,11731.562378510469
LANDROVER,11516.666666666666
VOLVO,11463.952481520591
DODGE,11164.073563144122
CHRYSLER,11068.147114339645
HYUNDAI,11003.269937245203
HONDA,10905.410551716574
BUICK,10709.563561804334
FIAT,10367.487861271677
MAZDA,10050.081335213916
SCION,9578.808535862478
VOLKSWAGEN,9377.539389131298
MITSUBISHI,8185.243833685694
MERCEDES,7471.428571428572
PLYMOUTH,7287.962962962963
GMC TRUCK,6920.454545454545
MAZDA TK,6500.0
SMART,6236.868686868687
SUZUKI,3907.3469387755104
MERCURY,3907.266435986159
PONTIAC,3752.2272325375775
SAAB,3628.099173553719
SATURN,3385.427666314678
FORD TK,2800.0
HYUNDAI TK,2100.0
CHEV TRUCK,2000.0
ISUZU,1709.1960784313726
OLDSMOBILE,939.453125
DODGE TK,550.0
GEO,528.9473684210526
DOT,500.0
FORD TRUCK,483.3333333333333
DAEWOO,400.0
