make,transactions
FORD,93997
CHEVROLET,60587
NISSAN,54017
TOYOTA,39966
DODGE,30955
HONDA,27351
HYUNDAI,21836
BMW,20793
KIA,18084
CHRYSLER,17485
MERCEDES-BENZ,17141
JEEP,15483
INFINITI,15305
VOLKSWAGEN,12605
LEXUS,11980
GMC,10638
MAZDA,8508
CADILLAC,7629
ACURA,5926
AUDI,5877
LINCOLN,5786
BUICK,5121
SUBARU,5103
RAM,4574
PONTIAC,4524
MITSUBISHI,4257
VOLVO,3788
MINI,3224
SATURN,2841
MERCURY,2023
LAND ROVER,1864
SCION,1687
JAGUAR,1420
PORSCHE,1402
SUZUKI,1078
FIAT,865
HUMMER,805
SAAB,484
SMART,396
OLDSMOBILE,384
ISUZU,204
MASERATI,136
BENTLEY,116
MERCEDES,70
PLYMOUTH,27
LANDROVER,27
ASTON MARTIN,25
VW,24
TESLA,23
FERRARI,19
GEO,19
ROLLS-ROYCE,17
GMC TRUCK,11
FISKER,9
LAMBORGHINI,4
DAEWOO,3
FORD TRUCK,3
MERCEDES-B,2
MAZDA TK,1
HYUNDAI TK,1
DOT,1
AIRSTREAM,1
DODGE TK,1
LOTUS,1
CHEV TRUCK,1
FORD TK,1
