make,sale_year,sale_month,transactions,year_month
ACURA,2014.0,1.0,1,2014-01
ACURA,2014.0,12.0,725,2014-12
ACURA,2015.0,1.0,1760,2015-01
ACURA,2015.0,2.0,1617,2015-02
ACURA,2015.0,3.0,381,2015-03
ACURA,2015.0,4.0,4,2015-04
ACURA,2015.0,5.0,525,2015-05
ACURA,2015.0,6.0,902,2015-06
ACURA,2015.0,7.0,11,2015-07
AIRSTREAM,2014.0,12.0,1,2014-12
ASTON MARTIN,2015.0,1.0,7,2015-01
ASTON MARTIN,2015.0,2.0,8,2015-02
ASTON MARTIN,2015.0,5.0,3,2015-05
ASTON MARTIN,2015.0,6.0,7,2015-06
AUDI,2014.0,12.0,581,2014-12
AUDI,2015.0,1.0,1510,2015-01
AUDI,2015.0,2.0,1601,2015-02
AUDI,2015.0,3.0,330,2015-03
AUDI,2015.0,4.0,8,2015-04
AUDI,2015.0,5.0,652,2015-05
AUDI,2015.0,6.0,1180,2015-06
AUDI,2015.0,7.0,15,2015-07
BENTLEY,2014.0,12.0,18,2014-12
BENTLEY,2015.0,1.0,30,2015-01
BENTLEY,2015.0,2.0,21,2015-02
BENTLEY,2015.0,3.0,3,2015-03
BENTLEY,2015.0,5.0,15,2015-05
BENTLEY,2015.0,6.0,28,2015-06
BENTLEY,2015.0,7.0,1,2015-07
BMW,2014.0,1.0,3,2014-01
BMW,2014.0,12.0,2125,2014-12
BMW,2015.0,1.0,5191,2015-01
BMW,2015.0,2.0,5822,2015-02
BMW,2015.0,3.0,1258,2015-03
BMW,2015.0,4.0,67,2015-04
BMW,2015.0,5.0,2089,2015-05
BMW,2015.0,6.0,4145,2015-06
BMW,2015.0,7.0,93,2015-07
BUICK,2014.0,1.0,2,2014-01
BUICK,2014.0,12.0,548,2014-12
BUICK,2015.0,1.0,1212,2015-01
BUICK,2015.0,2.0,1436,2015-02
BUICK,2015.0,3.0,468,2015-03
BUICK,2015.0,4.0,17,2015-04
BUICK,2015.0,5.0,495,2015-05
BUICK,2015.0,6.0,929,2015-06
BUICK,2015.0,7.0,14,2015-07
CADILLAC,2014.0,1.0,3,2014-01
CADILLAC,2014.0,12.0,948,2014-12
CADILLAC,2015.0,1.0,2019,2015-01
CADILLAC,2015.0,2.0,2157,2015-02
CADILLAC,2015.0,3.0,615,2015-03
CADILLAC,2015.0,4.0,21,2015-04
CADILLAC,2015.0,5.0,716,2015-05
CADILLAC,2015.0,6.0,1131,2015-06
CADILLAC,2015.0,7.0,19,2015-07
CHEV TRUCK,2014.0,12.0,1,2014-12
CHEVROLET,2014.0,1.0,14,2014-01
CHEVROLET,2014.0,12.0,6244,2014-12
CHEVROLET,2015.0,1.0,14789,2015-01
CHEVROLET,2015.0,2.0,18259,2015-02
CHEVROLET,2015.0,3.0,5467,2015-03
CHEVROLET,2015.0,4.0,174,2015-04
CHEVROLET,2015.0,5.0,5549,2015-05
CHEVROLET,2015.0,6.0,9987,2015-06
CHEVROLET,2015.0,7.0,104,2015-07
CHRYSLER,2014.0,1.0,4,2014-01
CHRYSLER,2014.0,12.0,1690,2014-12
CHRYSLER,2015.0,1.0,4412,2015-01
CHRYSLER,2015.0,2.0,5120,2015-02
CHRYSLER,2015.0,3.0,1505,2015-03
CHRYSLER,2015.0,4.0,49,2015-04
CHRYSLER,2015.0,5.0,1552,2015-05
CHRYSLER,2015.0,6.0,3114,2015-06
CHRYSLER,2015.0,7.0,37,2015-07
DAEWOO,2014.0,12.0,1,2014-12
DAEWOO,2015.0,1.0,1,2015-01
DAEWOO,2015.0,2.0,1,2015-02
DODGE,2014.0,1.0,6,2014-01
DODGE,2014.0,12.0,3003,2014-12
DODGE,2015.0,1.0,7970,2015-01
DODGE,2015.0,2.0,9272,2015-02
DODGE,2015.0,3.0,2611,2015-03
DODGE,2015.0,4.0,77,2015-04
DODGE,2015.0,5.0,2775,2015-05
DODGE,2015.0,6.0,5164,2015-06
DODGE,2015.0,7.0,75,2015-07
DODGE TK,2014.0,12.0,1,2014-12
DOT,2014.0,12.0,1,2014-12
FERRARI,2014.0,12.0,3,2014-12
FERRARI,2015.0,2.0,3,2015-02
FERRARI,2015.0,3.0,1,2015-03
FERRARI,2015.0,5.0,4,2015-05
FERRARI,2015.0,6.0,8,2015-06
FIAT,2014.0,12.0,47,2014-12
FIAT,2015.0,1.0,206,2015-01
FIAT,2015.0,2.0,251,2015-02
FIAT,2015.0,3.0,70,2015-03
FIAT,2015.0,4.0,1,2015-04
FIAT,2015.0,5.0,105,2015-05
FIAT,2015.0,6.0,184,2015-06
FIAT,2015.0,7.0,1,2015-07
FISKER,2015.0,1.0,1,2015-01
FISKER,2015.0,2.0,4,2015-02
FISKER,2015.0,3.0,1,2015-03
FISKER,2015.0,6.0,3,2015-06
FORD,2014.0,1.0,112,2014-01
FORD,2014.0,12.0,7643,2014-12
FORD,2015.0,1.0,24080,2015-01
FORD,2015.0,2.0,28057,2015-02
FORD,2015.0,3.0,8400,2015-03
FORD,2015.0,4.0,278,2015-04
FORD,2015.0,5.0,9078,2015-05
FORD,2015.0,6.0,16056,2015-06
FORD,2015.0,7.0,292,2015-07
FORD TK,2014.0,12.0,1,2014-12
FORD TRUCK,2014.0,12.0,1,2014-12
FORD TRUCK,2015.0,1.0,2,2015-01
GEO,2014.0,12.0,1,2014-12
GEO,2015.0,1.0,8,2015-01
GEO,2015.0,2.0,6,2015-02
GEO,2015.0,5.0,3,2015-05
GEO,2015.0,6.0,1,2015-06
GMC,2014.0,1.0,1,2014-01
GMC,2014.0,12.0,1021,2014-12
GMC,2015.0,1.0,2510,2015-01
GMC,2015.0,2.0,3085,2015-02
GMC,2015.0,3.0,876,2015-03
GMC,2015.0,4.0,18,2015-04
GMC,2015.0,5.0,1152,2015-05
GMC,2015.0,6.0,1956,2015-06
GMC,2015.0,7.0,19,2015-07
GMC TRUCK,2014.0,12.0,6,2014-12
GMC TRUCK,2015.0,1.0,5,2015-01
HONDA,2014.0,1.0,6,2014-01
HONDA,2014.0,12.0,3496,2014-12
HONDA,2015.0,1.0,7805,2015-01
HONDA,2015.0,2.0,7843,2015-02
HONDA,2015.0,3.0,1806,2015-03
HONDA,2015.0,4.0,64,2015-04
HONDA,2015.0,5.0,2199,2015-05
HONDA,2015.0,6.0,4084,2015-06
HONDA,2015.0,7.0,48,2015-07
HUMMER,2014.0,12.0,70,2014-12
HUMMER,2015.0,1.0,222,2015-01
HUMMER,2015.0,2.0,220,2015-02
HUMMER,2015.0,3.0,78,2015-03
HUMMER,2015.0,4.0,2,2015-04
HUMMER,2015.0,5.0,70,2015-05
HUMMER,2015.0,6.0,138,2015-06
HUMMER,2015.0,7.0,5,2015-07
HYUNDAI,2014.0,1.0,11,2014-01
HYUNDAI,2014.0,12.0,2074,2014-12
HYUNDAI,2015.0,1.0,5336,2015-01
HYUNDAI,2015.0,2.0,6159,2015-02
HYUNDAI,2015.0,3.0,1899,2015-03
HYUNDAI,2015.0,4.0,50,2015-04
HYUNDAI,2015.0,5.0,2039,2015-05
