make,sale_year,transactions
ACURA,2014.0,726
ACURA,2015.0,5200
AIRSTREAM,2014.0,1
ASTON MARTIN,2015.0,25
AUDI,2014.0,581
AUDI,2015.0,5296
BENTLEY,2014.0,18
BENTLEY,2015.0,98
BMW,2014.0,2128
BMW,2015.0,18665
BUICK,2014.0,550
BUICK,2015.0,4571
CADILLAC,2014.0,951
CADILLAC,2015.0,6678
CHEV TRUCK,2014.0,1
CHEVROLET,2014.0,6258
CHEVROLET,2015.0,54329
CHRYSLER,2014.0,1694
CHRYSLER,2015.0,15789
DAEWOO,2014.0,1
DAEWOO,2015.0,2
DODGE,2014.0,3009
DODGE,2015.0,27944
DODGE TK,2014.0,1
DOT,2014.0,1
FERRARI,2014.0,3
FERRARI,2015.0,16
FIAT,2014.0,47
FIAT,2015.0,818
FISKER,2015.0,9
FORD,2014.0,7755
FORD,2015.0,86241
FORD TK,2014.0,1
FORD TRUCK,2014.0,1
FORD TRUCK,2015.0,2
GEO,2014.0,1
GEO,2015.0,18
GMC,2014.0,1022
GMC,2015.0,9616
GMC TRUCK,2014.0,6
GMC TRUCK,2015.0,5
HONDA,2014.0,3502
HONDA,2015.0,23849
HUMMER,2014.0,70
HUMMER,2015.0,735
HYUNDAI,2014.0,2085
HYUNDAI,2015.0,19746
HYUNDAI TK,2014.0,1
INFINITI,2014.0,1303
INFINITI,2015.0,14002
ISUZU,2014.0,28
ISUZU,2015.0,176
JAGUAR,2014.0,167
JAGUAR,2015.0,1253
JEEP,2014.0,1509
JEEP,2015.0,13974
KIA,2014.0,1477
KIA,2015.0,16605
LAMBORGHINI,2015.0,4
LAND ROVER,2014.0,227
LAND ROVER,2015.0,1637
LANDROVER,2014.0,20
LANDROVER,2015.0,7
LEXUS,2014.0,1131
LEXUS,2015.0,10849
LINCOLN,2014.0,475
LINCOLN,2015.0,5311
LOTUS,2015.0,1
MASERATI,2014.0,11
MASERATI,2015.0,125
MAZDA,2014.0,969
MAZDA,2015.0,7539
MAZDA TK,2014.0,1
MERCEDES,2014.0,44
MERCEDES,2015.0,26
MERCEDES-B,2014.0,1
MERCEDES-B,2015.0,1
MERCEDES-BENZ,2014.0,1789
MERCEDES-BENZ,2015.0,15352
MERCURY,2014.0,271
MERCURY,2015.0,1752
MINI,2014.0,297
MINI,2015.0,2927
MITSUBISHI,2014.0,539
MITSUBISHI,2015.0,3718
NISSAN,2014.0,4707
NISSAN,2015.0,49310
OLDSMOBILE,2014.0,72
OLDSMOBILE,2015.0,312
PLYMOUTH,2014.0,10
PLYMOUTH,2015.0,17
PONTIAC,2014.0,673
PONTIAC,2015.0,3851
PORSCHE,2014.0,144
PORSCHE,2015.0,1258
RAM,2014.0,316
RAM,2015.0,4258
ROLLS-ROYCE,2014.0,1
ROLLS-ROYCE,2015.0,16
SAAB,2014.0,72
SAAB,2015.0,412
SATURN,2014.0,445
SATURN,2015.0,2396
SCION,2014.0,204
SCION,2015.0,1483
SMART,2014.0,39
SMART,2015.0,357
SUBARU,2014.0,456
SUBARU,2015.0,4647
SUZUKI,2014.0,146
SUZUKI,2015.0,932
TESLA,2014.0,1
TESLA,2015.0,22
TOYOTA,2014.0,4093
TOYOTA,2015.0,35873
VOLKSWAGEN,2014.0,1176
VOLKSWAGEN,2015.0,11403
VOLVO,2014.0,404
VOLVO,2015.0,3384
VW,2014.0,4
VW,2015.0,20
