state,transactions
FL,82945
CA,73148
PA,53907
TX,45913
GA,34750
NJ,27784
IL,23486
NC,21845
OH,21575
TN,20895
MO,16013
MI,15511
NV,12685
VA,12027
MD,11158
WI,9851
MN,9429
AZ,8741
CO,7775
WA,7416
MA,6729
NY,5699
IN,4325
SC,4251
NE,4013
ON,3442
PR,2725
LA,2191
MS,1851
UT,1836
QC,1245
HI,1237
OR,1155
AB,928
NM,171
OK,72
NS,61
AL,26
3VWD17AJ5FM206111,1
3VWD17AJ3FM259017,1
3VWD17AJ4FM201708,1
3VWD17AJ2FM285365,1
3VWD17AJ4FM236636,1
3VWD17AJ3FM276741,1
3VWD17AJ2FM261566,1
3VWD17AJ6FM231972,1
3VWD17AJ5FM219943,1
3VWD17AJ5FM221322,1
3VWD17AJ7FM222388,1
3VWD17AJ7FM223475,1
3VWD17AJ7FM229552,1
3VWD17AJ7FM326640,1
3VWD17AJ8FM239622,1
3VWD17AJ8FM298895,1
3VWD17AJ9FM219766,1
3VWD17AJXFM315938,1
3VWD17AJ6FM218641,1
3VWD17AJ5FM297123,1
3VWD17AJ2FM258506,1
3VWD17AJ5FM273601,1
3VWD17AJ5FM268964,1
3VWD17AJ5FM225953,1
3VWD17AJ7FM218440,1
3VWD17AJ0FM227318,1
